Date,Price,Open,High,Low
29-Apr-13,5904.10,5877.60,5918.65,5868.80
30-Apr-13,5930.20,5932.60,5962.30,5867.80
2-May-13,5999.35,5911.40,6019.45,5910.95
3-May-13,5944.00,5993.50,6000.30,5930.15
6-May-13,5971.05,5944.90,5976.50,5928.45
7-May-13,6043.55,5983.45,6050.50,5982.95
8-May-13,6069.30,6064.15,6083.55,6024.95
9-May-13,6050.15,6078.35,6084.70,6040.45
10-May-13,6094.75,6046.25,6105.30,6045.60
11-May-13,6107.25,6088.20,6114.55,6084.15
13-May-13,5980.45,6098.20,6104.95,5972.90
14-May-13,5995.40,5989.70,6026.20,5970.05
15-May-13,6146.75,6018.85,6157.10,6018.85
16-May-13,6169.90,6128.25,6187.30,6128.25
17-May-13,6187.30,6172.95,6199.95,6146.15
20-May-13,6156.90,6198.00,6229.45,6146.05
21-May-13,6114.10,6152.35,6180.25,6102.35
22-May-13,6094.50,6127.05,6147.60,6074.45
23-May-13,5967.05,6050.40,6081.45,5955.70
24-May-13,5983.55,6010.70,6015.30,5936.80
27-May-13,6083.15,5989.40,6099.90,5975.55
28-May-13,6111.25,6086.35,6127.65,6055.40
29-May-13,6104.30,6120.45,6125.05,6069.80
30-May-13,6124.05,6072.15,6133.75,6072.15
31-May-13,5985.95,6098.70,6106.25,5975.55
3-Jun-13,5939.30,5997.35,6011.00,5916.35
4-Jun-13,5919.45,5941.10,5981.60,5910.25
5-Jun-13,5923.85,5908.30,5935.20,5883.70
6-Jun-13,5921.40,5895.00,5956.55,5869.50
7-Jun-13,5881.00,5900.05,5972.70,5871.30
10-Jun-13,5878.00,5907.90,5931.65,5857.40
11-Jun-13,5788.80,5848.75,5868.05,5780.35
12-Jun-13,5760.20,5771.75,5792.90,5738.60
13-Jun-13,5699.10,5709.35,5729.85,5683.10
14-Jun-13,5808.40,5748.95,5819.40,5739.40
17-Jun-13,5850.05,5820.40,5854.90,5770.25
18-Jun-13,5813.60,5841.90,5863.40,5804.30
